grid_id,latitude,longitude,urban_usability_score,usability_class
49,28.591128811895484,76.85625313959142,37.15,Low Usability
50,28.59540576043114,76.85751423127503,36.09,Low Usability
51,28.598748623070456,76.85839472564767,38.55,Low Usability
52,28.539232894689057,76.86269216473278,46.33,Low Usability
53,28.54215303603065,76.86112171289585,36.63,Low Usability
54,28.546150385137686,76.86041324136632,38.64,Low Usability
55,28.550631777307228,76.86045309381862,38.29,Low Usability
56,28.555142671869287,76.860532415143,45.21,Low Usability
57,28.559653563230107,76.86061175470681,45.51,Low Usability
58,28.564164451389356,76.86069111251336,45.03,Low Usability
59,28.56867533634663,76.86077048856593,45.19,Low Usability
60,28.573186218101608,76.86084988286785,40.72,Low Usability
61,28.577697096653914,76.8609292954224,46.48,Low Usability
62,28.582207972003186,76.86100872623287,38.0,Low Usability
63,28.58671884414909,76.86108817530257,40.42,Low Usability
64,28.591229713091256,76.86116764263484,39.28,Low Usability
65,28.59574057882931,76.86124712823299,38.74,Low Usability
66,28.600156399186933,76.86146289837936,40.72,Low Usability
67,28.604455674115652,76.8624630688648,34.69,Low Usability
68,28.60817411768085,76.86344278906688,35.29,Low Usability
69,28.53787799745181,76.86608834326444,42.76,Low Usability
70,28.541539878989827,76.86540287975971,41.22,Low Usability
71,28.546050766866088,76.8654823820242,41.81,Low Usability
72,28.550561651540765,76.8655619025715,44.75,Low Usability
73,28.55507253301344,76.86564144140488,42.59,Low Usability
74,28.5595834112838,76.86572099852765,46.71,Low Usability
75,28.564094286351484,76.86580057394315,49.37,Low Usability
76,28.56860515821612,76.86588016765465,41.46,Low Usability
77,28.57311602687736,76.86595977966547,45.63,Low Usability
78,28.57762689233484,76.86603940997897,46.97,Low Usability
79,28.582137754588206,76.86611905859841,36.48,Low Usability
80,28.58664861363711,76.86619872552714,41.27,Low Usability
81,28.591159469481177,76.86627841076844,42.4,Low Usability
82,28.595670322120053,76.86635811432562,40.6,Low Usability
83,28.600181171553388,76.86643783620205,39.04,Low Usability
84,28.604692017780835,76.86651757640102,35.69,Low Usability
85,28.609183390399473,76.86662072856944,36.2,Low Usability
86,28.613468742647882,76.86740314136922,37.76,Low Usability
87,28.617574298674064,76.86848518574567,42.73,Low Usability
88,28.620596434533176,76.86928173687784,38.02,Low Usability
89,28.533499611886924,76.87136937926776,42.29,Low Usability
90,28.536965581640192,76.87043949566177,44.0,Low Usability
91,28.541469587394268,76.87051123536509,35.88,Low Usability
92,28.545980462147497,76.87059095503531,35.03,Low Usability
93,28.55049133369803,76.8706706930383,40.9,Low Usability
94,28.555002202045504,76.87075044937735,46.31,Low Usability
95,28.55951306718956,76.87083022405577,45.96,Low Usability
96,28.56402392912984,76.8709100170769,49.55,Low Usability
97,28.568534787865996,76.87098982844401,48.11,Low Usability
98,28.57304564339765,76.87106965816047,42.95,Low Usability
99,28.577556495724462,76.8711495062296,43.33,Low Usability
100,28.582067344846063,76.87122937265468,41.65,Low Usability
101,28.586578190762104,76.8713092574391,42.22,Low Usability
102,28.591089033472226,76.8713891605861,29.94,Low Usability
103,28.595599872976056,76.87146908209907,43.16,Low Usability
104,28.60011070927325,76.87154902198131,36.66,Low Usability
105,28.604621542363464,76.87162898023615,42.38,Low Usability
106,28.609132372246314,76.87170895686695,37.15,Low Usability
107,28.613643198921448,76.871788951877,42.18,Low Usability
108,28.618154022388527,76.87186896526964,43.68,Low Usability
109,28.622467853754806,76.87234722337209,41.99,Low Usability
110,28.626744105172225,76.87346784128104,37.66,Low Usability
111,28.63002140192835,76.87433190837389,34.97,Low Usability
112,28.51162645935841,76.8771851411739,36.94,Low Usability
113,28.514484500747173,76.87615112786513,39.24,Low Usability
114,28.518101179755817,76.87688283880745,39.26,Low Usability
115,28.5210979207489,76.87779562477589,45.0,Low Usability
116,28.528896158451577,76.87674680253158,41.19,Low Usability
117,28.532426657981127,76.87551589599774,40.65,Low Usability
118,28.536888238998827,76.8755396539477,45.51,Low Usability
119,28.541399103796632,76.87561957264103,41.59,Low Usability
120,28.545909965391008,76.87569950971368,28.3,Low Usability
121,28.550420823781582,76.87577946516906,38.33,Low Usability
122,28.55493167896801,76.87585943901047,37.54,Low Usability
123,28.559442530949926,76.87593943124122,36.75,Low Usability
124,28.56395337972698,76.87601944186464,36.59,Low Usability
125,28.568464225298793,76.87609947088406,46.17,Low Usability
126,28.572975067665023,76.8761795183028,46.09,Low Usability
127,28.577485906825313,76.87625958412426,46.32,Low Usability
128,28.581996742779292,76.87633966835165,38.14,Low Usability
129,28.586507575526618,76.8764197709884,35.88,Low Usability
130,28.591018405066936,76.87649989203781,36.17,Low Usability
131,28.595529231399862,76.87658003150322,44.39,Low Usability
132,28.600040054525053,76.87666018938795,36.84,Low Usability
133,28.604550874442165,76.87674036569537,43.48,Low Usability
134,28.609061691150817,76.87682056042878,43.8,Low Usability
135,28.613572504650662,76.87690077359153,43.84,Low Usability
136,28.618083314941337,76.87698100518699,46.03,Low Usability
137,28.622594122022498,76.87706125521848,41.23,Low Usability
138,28.627104925893782,76.87714152368933,38.06,Low Usability
139,28.631502976745548,76.87739059095603,39.17,Low Usability
140,28.635425266291005,76.87830163325549,35.37,Low Usability
141,28.510819432904643,76.88023050636657,36.49,Low Usability
142,28.51426327051879,76.88024735160593,38.28,Low Usability
143,28.518774138140284,76.88032739555176,39.19,Low Usability
144,28.52319593509444,76.88082079009125,36.15,Low Usability
145,28.527808514836938,76.88050281615665,40.96,Low Usability
146,28.53230672178689,76.8805676378786,39.22,Low Usability
147,28.536817576595272,76.88064775549508,45.88,Low Usability
148,28.541328428199485,76.88072789153756,46.13,Low Usability
149,28.545839276599168,76.88080804600934,38.08,Low Usability
150,28.550350121793965,76.88088821891378,35.42,Low Usability
151,28.5548609637835,76.88096841025423,37.6,Low Usability
152,28.559371802567444,76.88104862003398,38.48,Low Usability
153,28.563882638145408,76.88112884825635,45.27,Low Usability
154,28.56839347051706,76.88120909492476,40.63,Low Usability
155,28.572904299682016,76.88128936004249,37.09,Low Usability
156,28.577415125639938,76.88136964361289,46.83,Low Usability
157,28.58192594839045,76.8814499456393,46.41,Low Usability
158,28.5864367679332,76.88153026612507,45.55,Low Usability
159,28.59094758426785,76.88161060507355,38.25,Low Usability
160,28.59545839739402,76.88169096248805,41.1,Low Usability
161,28.59996920731134,76.88177133837193,36.75,Low Usability
162,28.604480014019483,76.88185173272856,34.97,Low Usability
163,28.608990817518062,76.88193214556127,37.24,Low Usability
164,28.613501617806747,76.88201257687338,45.76,Low Usability
165,28.61801241488516,76.8820930266683,48.62,Low Usability
166,28.622523208752945,76.88217349494933,45.14,Low Usability
167,28.627033999409754,76.88225398171986,37.01,Low Usability
168,28.631544786855223,76.88233448698321,38.1,Low Usability
169,28.635054790631912,76.88213833949867,36.51,Low Usability
170,28.51127113791387,76.8846536135194,35.34,Low Usability
171,28.51419248228471,76.88535434874703,35.58,Low Usability
172,28.518703336682275,76.88543460978912,38.12,Low Usability
173,28.52321418787599,76.88551488929377,39.82,Low Usability
174,28.527725035865526,76.88559518726433,38.96,Low Usability
175,28.532235880650504,76.88567550370412,40.4,Low Usability
176,28.53674672223058,76.88575583861649,47.53,Low Usability
177,28.54125756060537,76.8858361920048,42.72,Low Usability
178,28.54576839577454,76.88591656387236,39.59,Low Usability
179,28.550279227737718,76.88599695422253,36.39,Low Usability
180,28.554790056494532,76.88607736305865,38.13,Low Usability
181,28.55930088204465,76.88615779038406,38.22,Low Usability
182,28.56381170438771,76.88623823620209,45.31,Low Usability
183,28.56832252352334,76.88631870051613,40.03,Low Usability
184,28.57283333945118,76.88639918332949,35.57,Low Usability
185,28.577344152170877,76.88647968464554,35.79,Low Usability
186,28.58185496168208,76.8865602044676,37.11,Low Usability
187,28.586365767984404,76.88664074279903,45.08,Low Usability
188,28.590876571077526,76.88672129964321,45.33,Low Usability
189,28.595387370961067,76.88680187500347,45.44,Low Usability
190,28.599898167634667,76.88688246888319,35.6,Low Usability
191,28.604408961097977,76.88696308128566,35.99,Low Usability
192,28.608919751350626,76.88704371221432,36.76,Low Usability
193,28.613430538392272,76.88712436167246,35.19,Low Usability
194,28.617941322222553,76.88720502966348,39.0,Low Usability
195,28.62245210284108,76.88728571619072,42.57,Low Usability
196,28.62696288024754,76.88736642125754,35.51,Low Usability
197,28.631473654441557,76.88744714486731,39.36,Low Usability
198,28.634309856140458,76.88683896531953,37.31,Low Usability
199,28.511886803639612,76.88789010914734,45.0,Low Usability
200,28.514769842232685,76.889999205044,38.05,Low Usability
201,28.518632343408925,76.89054180556388,40.06,Low Usability
202,28.52314318134182,76.89062230221134,39.84,Low Usability
203,28.527654016069413,76.89070281737462,38.14,Low Usability
204,28.53216484759135,76.89078335105705,45.83,Low Usability
205,28.536675675907276,76.89086390326197,46.45,Low Usability
206,28.541186501016824,76.89094447399277,41.8,Low Usability
207,28.545697322919654,76.89102506325277,36.08,Low Usability
208,28.550208141615393,76.89110567104532,35.64,Low Usability
209,28.554718957103663,76.89118629737378,37.93,Low Usability
210,28.559229769384135,76.89126694224151,38.4,Low Usability
211,28.56374057845643,76.89134760565186,42.72,Low Usability
212,28.5682513843202,76.89142828760819,42.46,Low Usability
213,28.572762186975076,76.89150898811381,35.75,Low Usability
214,28.577272986420716,76.89158970717213,35.42,Low Usability
215,28.581783782656753,76.89167044478651,36.93,Low Usability
216,28.586294575682807,76.89175120096026,38.11,Low Usability
217,28.59080536549854,76.89183197569679,37.35,Low Usability
218,28.595316152103596,76.89191276899948,45.56,Low Usability
219,28.59982693549761,76.89199358087161,43.96,Low Usability
220,28.60433771568022,76.89207441131663,37.07,Low Usability
221,28.608848492651067,76.89215526033787,44.79,Low Usability
222,28.613359266409788,76.89223612793867,40.7,Low Usability
223,28.617870036956052,76.89231701412244,43.37,Low Usability
224,28.62238080428947,76.89239791889251,44.9,Low Usability
225,28.626891568409693,76.89247884225229,43.77,Low Usability
226,28.631179310367145,76.89244079681372,36.75,Low Usability
227,28.633762027233193,76.89029529393963,46.27,Low Usability
228,28.515899524150313,76.89372535018065,36.91,Low Usability
229,28.518795710565335,76.89544973933948,37.37,Low Usability
230,28.523071982959063,76.89572969661313,39.79,Low Usability
231,28.527582804388892,76.89581042896576,40.11,Low Usability
232,28.532093622611967,76.89589117988746,47.16,Low Usability
233,28.536604437627954,76.8959719493816,37.91,Low Usability
234,28.54111524943644,76.89605273745156,37.95,Low Usability
235,28.545626058037097,76.89613354410062,37.43,Low Usability
236,28.550136863429557,76.89621436933221,40.27,Low Usability
237,28.554647665613455,76.89629521314968,40.84,Low Usability
238,28.559158464588428,76.89637607555636,39.61,Low Usability
239,28.563669260354143,76.89645695655565,42.68,Low Usability
240,28.56818005291021,76.89653785615089,42.66,Low Usability
241,28.572690842256282,76.89661877434546,42.45,Low Usability
242,28.577201628392004,76.89669971114269,34.85,Low Usability
243,28.581712411317017,76.89678066654601,37.81,Low Usability
244,28.586223191030946,76.89686164055874,39.1,Low Usability
245,28.590733967533453,76.8969426331843,35.86,Low Usability
246,28.595244740824153,76.89702364442597,45.11,Low Usability
247,28.599755510902718,76.89710467428722,43.88,Low Usability
248,28.60426627776877,76.89718572277138,35.74,Low Usability
249,28.60877704142195,76.89726678988183,37.27,Low Usability
250,28.613287801861894,76.89734787562193,42.35,Low Usability
251,28.61779855908825,76.89742897999507,40.79,Low Usability
252,28.62230931310068,76.89751010300463,35.57,Low Usability
253,28.62682006389879,76.89759124465401,46.18,Low Usability
254,28.631137019527003,76.8977936547219,37.4,Low Usability
255,28.6340697946959,76.89962928660088,36.42,Low Usability
256,28.518827402195157,76.90090447859828,41.41,Low Usability
257,28.52300059273028,76.90083707244918,45.57,Low Usability
258,28.527511400826555,76.90091802198783,42.73,Low Usability
259,28.53202220571497,76.90099899014547,48.35,Low Usability
260,28.536533007395157,76.90107997692546,42.62,Low Usability
261,28.54104380586676,76.90116098233118,40.33,Low Usability
262,28.54555460112942,76.90124200636599,39.08,Low Usability
263,28.550065393182777,76.90132304903325,44.39,Low Usability
264,28.554576182026462,76.90140411033632,44.78,Low Usability
265,28.559086967660125,76.90148519027862,39.91,Low Usability
266,28.56359775008341,76.90156628886348,44.9,Low Usability
267,28.56810852929594,76.90164740609428,41.47,Low Usability
268,28.57261930529737,76.90172854197442,44.48,Low Usability
269,28.577130078087333,76.90180969650721,36.16,Low Usability
270,28.581640847665476,76.90189086969612,41.85,Low Usability
271,28.58615161403142,76.90197206154444,41.52,Low Usability
272,28.590662377184834,76.9020532720556,36.93,Low Usability
273,28.59517313712534,76.90213450123295,37.79,Low Usability
274,28.59968389385259,76.90221574907989,43.72,Low Usability
275,28.60419464736621,76.90229701559983,36.69,Low Usability
276,28.60870539766585,76.9023783007961,35.78,Low Usability
277,28.613216144751142,76.90245960467213,39.52,Low Usability
278,28.617726888621753,76.90254092723129,34.82,Low Usability
279,28.622237629277283,76.90262226847695,36.35,Low Usability
280,28.62674836671741,76.90270362841251,45.15,Low Usability
281,28.631259100941765,76.90278500704135,44.35,Low Usability
282,28.635331393088418,76.90326494320314,36.08,Low Usability
283,28.51575311842057,76.90677428407382,37.21,Low Usability
284,28.518419446343877,76.90586467807707,40.58,Low Usability
285,28.522929010658054,76.90594442966959,46.29,Low Usability
286,28.527439805384965,76.90602559639089,46.91,Low Usability
287,28.531950596902895,76.90610678178109,46.94,Low Usability
288,28.536461385211478,76.90618798584356,40.72,Low Usability
289,28.540972170310372,76.9062692085817,38.26,Low Usability
290,28.54548295219922,76.90635044999888,39.7,Low Usability
291,28.54999373087765,76.90643171009845,40.79,Low Usability
292,28.55450450634528,76.90651298888378,40.87,Low Usability
293,28.559015278601798,76.9065942863583,40.52,Low Usability
294,28.563526047646814,76.90667560252537,46.48,Low Usability
295,28.568036813479964,76.90675693738835,44.46,Low Usability
296,28.572547576100902,76.90683829095066,48.01,Low Usability
297,28.577058335509257,76.90691966321565,40.55,Low Usability
298,28.58156909170468,76.90700105418672,43.93,Low Usability
299,28.586079844686807,76.90708246386725,37.56,Low Usability
300,28.59059059445527,76.90716389226068,36.99,Low Usability
301,28.595101341009723,76.90724533937032,42.57,Low Usability
302,28.599612084349786,76.90732680519963,44.15,Low Usability
303,28.60412282447512,76.90740828975194,35.0,Low Usability
304,28.608633561385354,76.90748979303069,35.65,Low Usability
305,28.613144295080133,76.90757131503923,36.25,Low Usability
306,28.617655025559102,76.907652855781,34.19,Low Usability
307,28.62216575282189,76.90773441525936,36.07,Low Usability
308,28.626676476868152,76.90781599347773,38.85,Low Usability
309,28.631187197697518,76.9078975904395,45.31,Low Usability
310,28.635637113842176,76.90797450864956,41.95,Low Usability
311,28.51568645329358,76.90967359695519,37.32,Low Usability
312,28.518368677572802,76.91094859867101,38.75,Low Usability
313,28.52285723674499,76.91105176822451,38.5,Low Usability
314,28.527368018066703,76.91113315212509,44.31,Low Usability
315,28.53187879617833,76.91121455474446,36.87,Low Usability
316,28.536389571079507,76.91129597608604,42.0,Low Usability
317,28.540900342769874,76.91137741615323,41.43,Low Usability
318,28.545411111249066,76.91145887494937,40.63,Low Usability
319,28.549921876516727,76.91154035247786,42.66,Low Usability
320,28.554432638572514,76.91162184874209,41.44,Low Usability
321,28.558943397416034,76.91170336374545,35.78,Low Usability
322,28.563454153046948,76.91178489749132,42.54,Low Usability
323,28.56796490546488,76.9118664499831,43.94,Low Usability
324,28.572475654669482,76.9119480212242,40.76,Low Usability
325,28.576986400660395,76.91202961121802,41.18,Low Usability
326,28.581497143437247,76.91211121996788,40.42,Low Usability
327,28.586007882999684,76.91219284747726,38.76,Low Usability
328,28.590518619347357,76.91227449374952,39.13,Low Usability
329,28.595029352479884,76.91235615878807,49.3,Low Usability
330,28.599540082396913,76.91243784259632,43.29,Low Usability
331,28.604050809098105,76.91251954517763,36.62,Low Usability
332,28.608561532583067,76.91260126653542,37.61,Low Usability
333,28.613072252851456,76.91268300667312,35.64,Low Usability
334,28.617582969902905,76.91276476559408,34.15,Low Usability
335,28.622093683737067,76.91284654330178,35.53,Low Usability
336,28.626604394353585,76.91292833979956,38.77,Low Usability
337,28.63111510175209,76.91301015509086,42.27,Low Usability
338,28.634829299311235,76.91251191356974,47.33,Low Usability
339,28.518854088401852,76.91587254344489,41.75,Low Usability
340,28.522785270993648,76.91615908806399,44.89,Low Usability
341,28.527296038874358,76.91624068914044,44.94,Low Usability
342,28.53180680354387,76.91632230898564,40.76,Low Usability
343,28.53631756500181,76.91640394760296,40.22,Low Usability
344,28.540828323247826,76.91648560499578,40.73,Low Usability
345,28.54533907828156,76.9165672811675,29.99,Low Usability
346,28.549849830102644,76.91664897612152,36.65,Low Usability
347,28.554360578710718,76.91673068986124,40.45,Low Usability
348,28.55887132410542,76.91681242239005,38.85,Low Usability
349,28.56338206628639,76.91689417371136,42.9,Low Usability
350,28.567892805253262,76.91697594382856,39.15,Low Usability
351,28.5724035410057,76.91705773274506,35.69,Low Usability
352,28.57691427354332,76.91713954046428,37.27,Low Usability
353,28.581425002865753,76.91722136698957,40.13,Low Usability
354,28.58593572897266,76.91730321232436,36.82,Low Usability
355,28.59044645186368,76.9173850764721,32.29,Low Usability
356,28.59495717153843,76.91746695943614,47.89,Low Usability
357,28.59946788799658,76.91754886121991,43.1,Low Usability
358,28.603978601237745,76.91763078182682,37.16,Low Usability
359,28.608489311261575,76.91771272126029,38.35,Low Usability
360,28.613000018067723,76.9177946795237,36.26,Low Usability
361,28.617510721655798,76.91787665662049,36.92,Low Usability
362,28.622021422025444,76.91795865255408,44.63,Low Usability
363,28.626532119176336,76.91804066732789,42.61,Low Usability
364,28.630675957235628,76.91777981732238,38.23,Low Usability
365,28.633611967925766,76.91604452844108,36.64,Low Usability
366,28.651029494558063,76.92075527609252,35.34,Low Usability
367,28.65392707590538,76.91969694320444,37.39,Low Usability
368,28.657933630744854,76.91957047506797,37.56,Low Usability
369,28.66198797701527,76.9204772717777,40.84,Low Usability
370,28.66502141867422,76.92121649052756,37.07,Low Usability
371,28.51957127782153,76.92087108172959,44.87,Low Usability
372,28.522713113406624,76.92126638913811,43.78,Low Usability
373,28.52722386781053,76.9213482073871,41.59,Low Usability
374,28.531734619002098,76.9214300444547,44.53,Low Usability
375,28.536245366981,76.92151190034436,47.87,Low Usability
376,28.54075611174684,76.92159377505942,47.07,Low Usability
377,28.545266853299292,76.92167566860334,36.53,Low Usability
378,28.54977759163796,76.9217575809795,37.07,Low Usability
379,28.5542883267625,76.92183951219131,36.02,Low Usability
380,28.558799058672548,76.92192146224217,37.06,Low Usability
381,28.563309787367746,76.92200343113551,41.88,Low Usability
382,28.56782051284774,76.92208541887474,39.12,Low Usability
383,28.572331235112156,76.92216742546321,40.23,Low Usability
384,28.57684195416062,76.92224945090443,40.58,Low Usability
385,28.58135266999281,76.92233149520173,41.56,Low Usability
386,28.58586338260835,76.92241355835856,39.41,Low Usability
387,28.590374092006844,76.92249564037833,42.27,Low Usability
388,28.594884798187977,76.92257774126446,35.02,Low Usability
389,28.599395501151363,76.92265986102038,44.15,Low Usability
390,28.603906200896667,76.92274199964947,44.5,Low Usability
391,28.608416897423492,76.92282415715518,37.43,Low Usability
392,28.61292759073151,76.92290633354092,35.35,Low Usability
393,28.61743828082034,76.92298852881012,36.49,Low Usability
394,28.62194896768962,76.92307074296619,38.76,Low Usability
395,28.626459639849585,76.92315297228495,39.5,Low Usability
396,28.629329680975033,76.92212425393237,40.28,Low Usability
397,28.64630190084796,76.92563236791969,37.65,Low Usability
398,28.64945136420425,76.92413180024859,37.75,Low Usability
399,28.653523685597225,76.92364677117907,35.02,Low Usability
400,28.658034346697217,76.92372913655353,38.52,Low Usability
401,28.662545004574426,76.9238115208457,45.07,Low Usability
402,28.66688130311073,76.9242451981365,46.3,Low Usability
403,28.670168719584165,76.92542868024964,42.53,Low Usability
404,28.51933888065302,76.92657703959412,38.23,Low Usability
405,28.522640763986537,76.92637367139703,39.25,Low Usability
406,28.52715150487781,76.92645570681512,36.66,Low Usability
407,28.531662242555644,76.92653776110173,42.86,Low Usability
408,28.53617297701966,76.9266198342603,44.35,Low Usability
409,28.540683708269523,76.92670192629423,46.98,Low Usability
410,28.545194436304854,76.92678403720693,45.97,Low Usability
411,28.549705161125292,76.92686616700182,39.23,Low Usability
412,28.554215882730475,76.92694831568231,37.54,Low Usability
413,28.558726601120032,76.92703048325184,38.8,Low Usability
414,28.563237316293634,76.92711266971378,46.56,Low Usability
415,28.567748028250897,76.92719487507159,42.41,Low Usability
416,28.572258736991454,76.92727709932868,40.52,Low Usability
417,28.576769442514944,76.92735934248846,37.53,Low Usability
418,28.581280144821026,76.92744160455436,37.19,Low Usability
419,28.58579084390932,76.92752388552981,39.88,Low Usability
420,28.590301539779475,76.92760618541823,40.64,Low Usability
421,28.594812232431114,76.92768850422301,38.96,Low Usability
422,28.599322921863894,76.92777084194763,37.75,Low Usability
423,28.603833608077455,76.92785319859553,45.65,Low Usability
424,28.60834429107143,76.92793557417004,37.42,Low Usability
425,28.612854970845444,76.9280179686747,40.56,Low Usability
426,28.617365647399172,76.92810038211287,40.53,Low Usability
427,28.62187632073221,76.928182814488,46.6,Low Usability
428,28.626386990844214,76.92826526580355,42.93,Low Usability
429,28.63042111601541,76.92903540721746,39.83,Low Usability
430,28.63357868573192,76.93053851556348,40.91,Low Usability
431,28.641574148943363,76.93050902381691,36.2,Low Usability
432,28.644783340626432,76.9290430559554,43.68,Low Usability
433,28.6489402930762,76.92867780660748,39.15,Low Usability
434,28.653450943854462,76.9287603716376,36.66,Low Usability
435,28.657961591409183,76.92884295563213,38.23,Low Usability
436,28.662472235739962,76.92892555859459,36.89,Low Usability
437,28.666982876846497,76.92900818052841,46.65,Low Usability
438,28.671322575971615,76.92927246548987,43.64,Low Usability
439,28.674071539809226,76.93052480284118,37.7,Low Usability
440,28.518654818641323,76.93157230640156,41.59,Low Usability
441,28.52256822273596,76.93148093479081,40.15,Low Usability
442,28.52707895007881,76.93156318737458,44.75,Low Usability
443,28.531589674207087,76.9316454588768,45.97,Low Usability
444,28.53610039512044,76.93172774930088,43.52,Low Usability
445,28.540611112818475,76.93181005865023,37.51,Low Usability
446,28.545121827300868,76.93189238692833,46.12,Low Usability
447,28.549632538567256,76.93197473413852,46.45,Low Usability
448,28.55414324661725,76.9320571002843,45.02,Low Usability
449,28.558653951450513,76.93213948536905,37.78,Low Usability
450,28.563164653066664,76.9322218893962,44.8,Low Usability
451,28.56767535146535,76.9323043123692,47.4,Low Usability
452,28.57218604664622,76.93238675429144,49.15,Low Usability
453,28.57669673860889,76.9324692151664,38.78,Low Usability
454,28.581207427353014,76.93255169499747,39.33,Low Usability
455,28.58571811287823,76.93263419378809,38.99,Low Usability
456,28.590228795184174,76.93271671154172,39.17,Low Usability
457,28.594739474270487,76.93279924826173,40.68,Low Usability
458,28.599250150136804,76.93288180395166,40.07,Low Usability
459,28.603760822782757,76.93296437861487,48.82,Low Usability
460,28.608271492207997,76.9330469722548,36.48,Low Usability
461,28.61278215841217,76.93312958487489,40.04,Low Usability
462,28.6172928213949,76.93321221647864,43.46,Low Usability
463,28.621803481155816,76.9332948670694,43.01,Low Usability
464,28.626314137694575,76.93337753665068,42.45,Low Usability
465,28.63082479101082,76.93346022522589,44.73,Low Usability
466,28.63503769236825,76.93392542363257,42.14,Low Usability
467,28.640121755466208,76.93396861359064,41.65,Low Usability
468,28.64435673162079,76.93370840494961,46.84,Low Usability
469,28.64886737204333,76.93379116953504,47.54,Low Usability
470,28.653378009241543,76.93387395313162,40.72,Low Usability
471,28.657888643215088,76.93395675574287,40.21,Low Usability
472,28.66239927396357,76.93403957737215,37.56,Low Usability
473,28.666909901486648,76.93412241802298,45.34,Low Usability
474,28.671420525783947,76.93420527769878,44.21,Low Usability
475,28.674164898152434,76.93440967716457,39.67,Low Usability
476,28.75964569597644,76.93832684878558,48.28,Low Usability
477,28.80324565035297,76.93849971085594,42.11,Low Usability
478,28.80674770933372,76.938351932775,41.04,Low Usability
479,28.81058874731955,76.93866605647922,36.17,Low Usability
480,28.813604914532576,76.93933270538642,46.34,Low Usability
481,28.515493120077128,76.93814736510306,38.82,Low Usability
482,28.518054792046883,76.93656638089297,40.86,Low Usability
483,28.522495489657537,76.93658817926956,41.71,Low Usability
484,28.527006203416146,76.93667064901561,42.3,Low Usability
485,28.53151691395906,76.93675313773001,42.91,Low Usability
486,28.536027621285896,76.93683564541618,43.56,Low Usability
487,28.54053832539632,76.93691817207757,38.78,Low Usability
488,28.545049026289956,76.93700071771758,41.73,Low Usability
489,28.549559723966464,76.9370832823397,38.25,Low Usability
490,28.554070418425454,76.9371658659473,47.38,Low Usability
491,28.55858110966655,76.93724846854384,47.18,Low Usability
492,28.563091797689438,76.93733109013279,45.87,Low Usability
493,28.56760248249372,76.93741373071751,48.4,Low Usability
494,28.572113164079063,76.9374963903015,46.78,Low Usability
495,28.57662384244507,76.9375790688882,44.36,Low Usability
496,28.58113451759141,76.93766176648101,45.56,Low Usability
497,28.585645189517685,76.9377444830834,41.03,Low Usability
498,28.590155858223586,76.9378272186988,37.21,Low Usability
